Name;Passport;Phone;Birthday;Bonus
Фёдор;6277835;(983)364-79-70;02.06.1989 1:38:01;0
Анастасия;3113130;(908)504-87-40;13.02.1981 12:38:03;0
Валерий;1088545;(956)405-96-54;24.04.1963 9:38:36;0
Степан;9241940;(955)122-76-83;10.12.2000 18:42:30;0
Владимир;1196766;(935)941-92-80;22.11.1996 21:04:03;0
Роман;9356265;(997)022-18-08;13.01.1976 17:54:25;0
Ярослав;2625758;(956)795-68-25;16.11.1974 20:16:28;0
Лариса;3783033;(907)262-44-39;04.04.1989 23:22:17;0
Юрий;4458201;(962)428-27-63;22.02.1978 6:07:19;0
Александр;9216163;(903)134-53-24;17.07.1991 22:10:04;0
Анфиса;7721576;(923)215-88-95;24.12.2000 7:05:02;0
Станислав;5043041;(958)445-78-69;12.02.1971 2:34:59;0
Степан;7081973;(996)863-00-56;01.06.1967 7:42:35;0
Андрей;2165096;(938)479-26-14;19.09.1970 14:01:40;0
Надежда;2344040;(935)297-15-50;15.06.2001 9:19:28;0
Алевтина;9228642;(935)181-13-75;05.03.2002 9:35:37;0
Нина;9522665;(995)349-61-75;05.08.2002 4:11:48;0
Жанна;1509926;(924)469-97-81;30.12.1986 15:33:16;0
Елизавета;2680873;(907)867-85-05;09.03.1966 12:58:17;0
Виктор;764270;(929)819-87-10;11.10.1968 3:58:12;0
Зоя;3655428;(943)507-13-88;28.01.1977 10:17:11;0
Станислав;4196310;(921)994-13-10;16.07.1972 2:25:42;0
Вячеслав;7415824;(945)356-38-43;06.01.1967 19:57:29;0
Сергей;8561865;(906)239-09-24;11.11.2000 14:30:52;0
Николай;6468848;(994)966-23-95;20.08.2003 22:39:38;0
Владислав;9852846;(919)736-89-14;02.05.1971 8:44:20;0
Виктория;4321176;(933)107-61-43;31.01.1975 4:07:39;0
Илья;8305252;(998)584-09-09;04.12.1992 15:50:51;0
Лаврентий;5686579;(964)399-66-29;20.08.1997 19:42:35;0
Фёдор;6499248;(989)312-96-25;11.10.1978 16:23:51;0
Таисия;8203275;(916)630-95-01;27.12.1999 11:27:10;0
Ксения;9409824;(942)431-61-99;01.08.1987 1:11:40;0
Василий;22509;(976)564-30-84;27.12.1972 13:21:03;0
Лаврентий;7503533;(961)599-75-81;16.03.1968 7:20:01;0
Альберт;3760717;(974)213-41-08;01.03.2000 0:55:41;0
Римма;8227535;(996)610-11-13;01.11.1971 21:05:26;0
Герман;8151759;(930)274-16-58;14.03.1968 16:14:10;0
Николай;6233315;(964)601-35-53;30.07.1970 17:20:53;0
Фёдор;3067225;(931)197-31-85;25.05.1968 9:09:09;0
Дарья;8453212;(970)002-25-75;17.07.1982 13:19:50;0
Антонида;8629947;(931)040-58-59;20.09.1973 0:31:00;0
Григорий;1979195;(922)625-72-27;24.10.1997 11:19:17;0
Сергей;5307489;(940)360-72-57;28.07.1993 20:15:46;0
Эдуард;1314597;(929)668-71-55;10.03.2000 0:55:07;0
Игнатий;9729302;(924)836-79-99;20.02.1970 8:35:35;0
Анна;2186594;(957)528-79-50;01.05.1993 18:12:27;0
Валерия;8030983;(919)012-77-89;20.05.1964 0:13:26;0
Арина;4963830;(993)887-56-96;25.08.1990 13:00:45;0
Анна;2285043;(966)656-35-69;03.12.1984 9:23:39;0
Екатерина;5487023;(953)311-23-94;24.11.1999 22:55:17;0
Юлия;402637;(945)014-45-58;21.07.1979 15:49:47;0
Аркадий;6093096;(967)420-52-47;23.08.1982 22:36:12;0
Ксения;3665663;(910)536-66-53;04.05.1979 5:35:53;0
Мария;9326557;(977)824-36-51;22.01.1985 7:27:47;0
Анатолий;6666350;(977)549-80-34;30.05.1983 5:09:49;0
Максим;3415363;(968)249-36-75;04.12.1993 16:15:01;0
Юрий;1258213;(960)469-86-89;03.10.1994 5:42:34;0
Лука;2815230;(934)473-98-44;15.10.1993 14:43:47;0
Даниил;9898733;(918)559-36-53;21.09.1976 10:07:59;0
Анжела;3149091;(913)532-95-22;17.12.1987 7:36:29;0
Анжела;3082179;(901)408-31-91;09.06.2002 4:52:44;0
Антонина;6382293;(906)090-50-05;23.10.1966 21:19:49;0
Максим;2559355;(906)232-27-41;08.09.1977 15:15:16;0
Виталий;7251065;(986)017-75-92;15.12.1965 16:55:33;0
Лариса;8098824;(904)899-44-95;29.02.1992 19:34:23;0
Тамара;1027085;(927)576-26-75;26.10.1976 16:06:24;0
Василиса;307430;(997)412-15-08;12.07.1982 0:08:19;0
Эдуард;8765935;(959)419-94-76;02.05.1976 16:46:27;0
Лаврентий;3679349;(915)010-27-79;12.11.1994 7:46:26;0
Лаврентий;1484807;(917)979-27-73;22.04.1997 16:56:59;0
Варвара;7116350;(930)960-95-60;27.07.1982 23:28:36;0
Римма;7208731;(949)491-99-55;31.10.1985 21:13:40;0
Виталий;5174409;(965)290-61-09;12.06.1990 1:48:35;0
Григорий;4089109;(998)077-72-70;22.10.1983 15:50:36;0
Ксения;6164463;(901)678-09-28;01.04.1993 12:37:18;0
Антонида;2483194;(968)137-94-36;15.06.1966 2:36:48;0
Макар;1295314;(934)556-17-53;27.06.1974 18:01:35;0
Зинаида;6523726;(909)888-82-39;27.03.1988 21:48:25;0
Степан;5168250;(912)428-88-75;14.06.1969 22:45:53;0
Алла;6458353;(906)612-78-50;21.02.2003 14:39:18;0
Лаврентий;6728563;(988)733-02-91;30.04.1965 5:42:12;0
Максим;4475874;(938)223-32-47;10.10.1980 6:13:50;0
Раиса;6995814;(958)187-69-46;17.10.1963 4:53:12;0
Лука;1283015;(982)037-59-58;26.05.1989 19:58:17;0
Анжелика;5415029;(936)409-34-52;22.10.1963 18:21:12;0
Кира;8831351;(955)638-64-79;06.02.1966 13:47:27;0
Игнатий;1398887;(904)979-97-56;06.04.2001 8:17:14;0
Илья;1894782;(927)188-93-41;26.04.1997 1:09:07;0
Георгий;8803998;(919)306-46-38;24.03.1998 13:19:31;0
Ульяна;1819891;(904)835-29-69;14.08.2004 22:28:05;0
Валентина;9483825;(974)067-83-64;22.06.2004 21:13:38;0
Сергей;9983563;(973)949-51-15;19.07.1975 14:30:28;0
Зоя;3715744;(921)108-70-48;31.03.1987 18:39:00;0
Наталья;3181457;(918)122-48-91;06.09.1992 0:16:53;0
Анатолий;6597964;(950)069-29-01;29.03.1963 19:49:00;0
Арсений;8325583;(997)426-46-97;02.11.1973 21:49:20;0
Виктория;9860548;(926)622-93-43;25.04.2003 17:18:19;0
Виктор;1095842;(909)513-72-17;11.10.1963 19:30:00;0
Светлана;610882;(916)964-93-96;13.02.1975 20:57:52;0
Станислав;3416067;(915)716-10-69;24.07.1980 18:45:55;0
Антон;6844225;(986)795-22-46;22.08.1969 7:52:40;0
Маргарита;1087779;(935)820-61-90;22.03.1994 13:37:11;0
Денис;286149;(978)605-64-43;23.10.1962 0:52:52;0
Никита;2090411;(955)520-21-68;05.07.1967 14:51:31;0
Валерия;672692;(963)765-65-36;18.12.1972 21:08:13;0
Андрей;2764069;(931)117-01-33;25.04.1971 18:23:36;0
Матвей;4627454;(996)518-03-49;08.06.1978 2:19:37;0
Григорий;2089298;(942)240-33-97;30.05.2002 20:24:09;0
Валерия;6004323;(971)871-58-69;18.07.1969 8:57:16;0
Игнатий;7337701;(987)206-83-08;05.05.1964 19:49:11;0
Ульяна;1228559;(932)617-19-10;03.03.1977 10:41:56;0
Семён;8483987;(902)854-52-44;10.04.1971 10:38:59;0
Василиса;9657725;(963)236-58-39;31.10.1966 14:22:12;0
Лаврентий;8262262;(916)092-04-17;19.08.1985 17:17:22;0
Геннадий;6768522;(918)135-40-04;27.11.1975 5:46:17;0
Егор;8062123;(943)552-57-77;15.03.1971 0:42:56;0
Анастасия;3368243;(947)214-56-75;06.03.1989 19:06:43;0
Алексей;7589182;(987)508-86-67;02.03.1965 18:10:05;0
Зинаида;5588158;(985)236-38-89;01.10.1975 23:50:04;0
Анфиса;2700021;(932)581-62-60;24.03.1994 18:10:03;0
Анфиса;9565854;(930)015-70-14;08.05.1975 9:23:22;0
Сергей;2322872;(998)873-00-16;26.12.1969 1:53:41;0
Нина;9333279;(943)743-94-18;17.06.1989 22:39:46;0
Василий;7588751;(982)866-72-75;21.08.1965 18:46:08;0
Анжела;1479072;(974)649-54-74;20.06.1967 23:17:14;0
Василий;8423278;(937)271-49-34;01.12.1962 2:31:06;0
Анатолий;1363788;(953)790-40-61;21.11.1976 4:46:58;0
Валерий;1681925;(944)980-21-57;12.03.1972 12:08:32;0
Александр;5692509;(906)596-25-00;01.12.1973 6:22:56;0
